feature,split,gain,total
f701_hostgal_specz,1.0,1.0,2.0
f001_hostgal_photoz,0.5718115664496362,0.8503080929228446,1.4221196593724807
f001_hostgal_photoz_err,0.4172730754500191,0.5032051459705702,0.9204782214205893
f002_flux_std-d-mean,0.2786288778245883,0.18921710533529254,0.4678459831598808
f004_pb2_flux_min,0.20317885867483723,0.23531983559049544,0.43849869426533267
f004_pb2_flux_median,0.34258904634239756,0.08842099498764665,0.4310100413300442
f004_pb2_flux_std-d-mean,0.34565300651091535,0.06872598403465136,0.4143789905455667
f003_flux_diff_max-d-min,0.31941784756798164,0.06808161665951518,0.3874994642274968
f003_detected_diff_std,0.3232477977786289,0.06191378388715457,0.38516158166578346
f004_pb3_flux_std-d-mean,0.30735350440444276,0.06590676208489205,0.3732602664893348
f005_flux_max-d-min_mean,0.126579854461892,0.24568568715852185,0.3722655416204138
f004_pb4_flux_std-d-mean,0.2903102259670624,0.07578835633290178,0.36609858229996417
f004_pb1_flux_median,0.2855227882037534,0.05875721752269809,0.34428000572645145
f005_flux_max_std,0.259479126771352,0.08384536110585138,0.3433244878772034
f004_pb1_flux_min,0.2462657985446189,0.08978212602343827,0.3360479245680572
f005_detected_std-d-mean_std,0.2878207583301417,0.03854152586086601,0.3263622841910077
f003_flux_diff_median,0.27690540022979704,0.04705674813075347,0.3239621483605505
f004_pb0_flux_mean,0.20049789352738415,0.10991887830315894,0.31041677183054306
f004_pb0_flux_max,0.23152049023362697,0.07045751860401393,0.3019780088376409
f004_pb1_detected_std-d-mean,0.19628494829567217,0.096704170009752,0.2929891183054242
f004_pb5_flux_mean,0.22137112217541172,0.06832131157967174,0.28969243375508347
f004_pb5_flux_max,0.2116047491382612,0.07669746949094473,0.2883022186292059
f004_pb0_flux_std,0.20662581386441975,0.06375697721306373,0.2703827910774835
f004_pb0_flux_max-d-min,0.19973190348525469,0.06969699432065514,0.26942889780590984
f004_pb2_detected_std-d-mean,0.22903102259670624,0.03787059212677826,0.2669016147234845
f004_pb5_detected_std-d-mean,0.1897740329375718,0.076958871083672,0.26673290402124383
f004_pb3_flux_median,0.22443508234392953,0.03905871370526126,0.26349379604919076
f005_flux_std-d-mean_median,0.2075833014170816,0.05402041962148587,0.26160372103856744
f004_pb4_detected_std-d-mean,0.22003063960168517,0.04001142032575586,0.260042059927441
f004_pb5_flux_std,0.19685944082726925,0.062493156837453996,0.25935259766472324
f004_pb1_flux_std-d-mean,0.21811566449636155,0.0367264116539907,0.25484207615035226
f002_flux_max-d-min,0.18077364994255074,0.06891321462645371,0.24968686456900446
f004_pb1_flux_max-d-min,0.19494446572194563,0.05419036488265267,0.2491348306045983
f005_flux_max-d-min_std,0.19475296821141325,0.051744523646722766,0.24649749185813602
f004_pb2_flux_max-d-min,0.18575258521639218,0.05599321880064544,0.24174580401703763
f002_flux_median,0.18422060513213329,0.05670839280217433,0.2409289979343076
f004_pb4_flux_max-d-min,0.19015702795863654,0.050579937067077814,0.24073696502571434
f004_pb2_flux_max,0.18651857525852164,0.053121215110090075,0.23963979036861172
f004_pb4_flux_median,0.20509383378016086,0.03183157161959052,0.23692540539975138
f004_pb5_flux_median,0.19379548065875143,0.03954440354847651,0.23333988420722795
f004_pb0_flux_median,0.20260436614324015,0.029341379963996002,0.23194574610723614
f005_flux_median_min,0.1836461126005362,0.04827960818787332,0.23192572078840953
f005_flux_max-d-min_max,0.1981999234009958,0.03349496579806693,0.23169488919906273
f003_flux_diff_max,0.17924166985829185,0.051886990568447706,0.23112866042673955
f003_flux_diff_std-d-mean,0.2037533512064343,0.024991693172202692,0.22874504437863702
f005_flux_max-d-min_median,0.11757947146687094,0.10970085888732344,0.22728033035419437
f004_pb3_detected_std-d-mean,0.19494446572194563,0.03146681044843797,0.2264112761703836
f005_flux_std-d-mean_max,0.16411336652623515,0.06193318053020296,0.22604654705643812
f004_pb1_detected_mean,0.11355802374569131,0.11115462822793377,0.22471265197362508
f004_pb0_flux_std-d-mean,0.1960934507851398,0.028416757906208946,0.22451020869134874
f005_flux_max-d-min_min,0.1399846801991574,0.08424196031083821,0.22422664050999563
f004_pb1_flux_std,0.15741095365760246,0.06353520354685213,0.2209461572044546
f004_pb5_flux_std-d-mean,0.19283799310608962,0.027211066974806887,0.2200490600808965
f005_flux_median_median,0.1742627345844504,0.04500024625689639,0.2192629808413468
f004_pb1_flux_max,0.16679433167368823,0.051758844716417396,0.21855317639010563
f005_flux_std_min,0.14955955572577556,0.06369145374527498,0.21325100947105052
f004_pb3_flux_max-d-min,0.1733052470317886,0.038609086225811204,0.21191433325759979
f004_pb5_flux_max-d-min,0.16315587897357334,0.04830963286552076,0.2114655118390941
f005_flux_min_max,0.17445423209498276,0.032747591284792994,0.20720182337977575
f003_flux_diff_mean,0.18230563002680966,0.02261957962493587,0.20492520965174554
f005_flux_median_std,0.13921869015702795,0.06444784773925685,0.2036665378962848
f004_pb0_flux_err_std-d-mean,0.17732669475296822,0.02397662079108571,0.20130331554405392
f005_flux_max_min,0.15741095365760246,0.03599508714705261,0.19340604080465507
f005_flux_std-d-mean_mean,0.1706242818843355,0.02274520109737824,0.19336948298171375
f005_detected_mean_std,0.15281501340482573,0.03723650988644563,0.19005152329127137
f005_detected_std_std,0.16564534661049407,0.023445067171229007,0.1890904137817231
f005_flux_median_max,0.14592110302566066,0.04138722932280048,0.18730833234846114
f004_pb5_detected_mean,0.10245116813481425,0.08400594029834568,0.18645710843315993
f003_flux_err_diff_median,0.1639218690157028,0.021839979315330084,0.18576184833103287
f005_flux_std-d-mean_std,0.15492148602068173,0.02978799895408554,0.18470948497476727
f003_flux_diff_min,0.1405591727307545,0.04130710747789023,0.18186628020864473
f005_flux_min_median,0.09268479509766372,0.08603353600163487,0.17871833109929858
f004_pb4_flux_max,0.1457296055151283,0.032685297289986676,0.178414902805115
f004_pb2_flux_err_max-d-min,0.154538490999617,0.02192173199409167,0.17646022299370867
f004_pb3_flux_max,0.14324013787820758,0.03146388911477016,0.17470402699297774
f004_pb2_flux_err_std-d-mean,0.152432018383761,0.021768450211081477,0.17420046859484248
f004_pb4_flux_err_max-d-min,0.15377250095748754,0.01965844924298117,0.17343095020046873
f002_flux_err_max-d-min,0.1436231328992723,0.029183062143997116,0.17280619504326944
f005_flux_std-d-mean_min,0.15013404825737264,0.02205661633639484,0.17219066459376747
f004_pb3_flux_min,0.14553810800459593,0.025204111041429084,0.17074221904602502
f003_flux_err_diff_max-d-min,0.14955955572577556,0.018860842507902577,0.16842039823367813
f004_pb4_flux_mean,0.13711221754117198,0.030141829458835073,0.16725404700000704
f005_flux_min_std,0.10857908847184987,0.057926283580430796,0.16650537205228066
f005_flux_median_mean,0.13596323247797779,0.028868081693323625,0.16483131417130142
f005_flux_err_std-d-mean_min,0.1447721179624665,0.01811746731463072,0.1628895852770972
f004_pb1_flux_mean,0.1344312523937189,0.0260957905934322,0.1605270429871511
f004_pb0_flux_err_max-d-min,0.14209115281501342,0.018356202378453968,0.1604473551934674
f002_flux_max,0.12160091918805055,0.03883113146393329,0.16043205065198385
f004_pb4_flux_min,0.1380697050938338,0.019376961696489357,0.15744666679032315
f002_flux_err_std-d-mean,0.12543086939869783,0.03147560637215148,0.15690647577084932
f003_flux_diff_std,0.1193029490616622,0.035872579710695636,0.15517552877235782
f005_flux_err_max-d-min_min,0.13768671007276906,0.017122653402246408,0.15480936347501548
f005_flux_std_std,0.11394101876675604,0.033855039351977416,0.14779605811873345
f005_flux_err_max-d-min_max,0.1296438146304098,0.017821024948496043,0.14746483957890585
f004_pb3_flux_err_max-d-min,0.130792799693604,0.01611009572661323,0.14690289542021723
f003_passband_diff_std,0.13098429720413635,0.01579421754093248,0.1467785147450688
f005_flux_err_max-d-min_std,0.12830333205668326,0.016197971442702724,0.14450130349938597
f004_pb2_flux_mean,0.11911145155112983,0.02305523604723791,0.14216668759836773
f004_pb4_detected_std,0.11355802374569131,0.02723124068130528,0.14078926442699657
f004_pb3_flux_std,0.11298353121409421,0.02739002797852565,0.14037355919261987
f001_decl,0.12543086939869783,0.013985202825184676,0.1394160722238825
f005_detected_std-d-mean_max,0.12045193412485637,0.01720880422720008,0.13766073835205644
f004_pb4_flux_err_std-d-mean,0.12064343163538874,0.014718883589841915,0.13536231522523065
f005_flux_err_max-d-min_median,0.11853695901953275,0.015678481387274453,0.1342154404068072
f005_flux_err_std-d-mean_median,0.11853695901953275,0.014747677550574186,0.13328463657010695
f004_pb3_flux_mean,0.1120260436614324,0.020750986739320246,0.13277703040075264
f003_flux_err_diff_mean,0.11547299885101493,0.013986421414736348,0.12945942026575127
f003_flux_err_diff_min,0.11413251627728839,0.014340066401292146,0.12847258267858053
f004_pb2_flux_err_min,0.10743010340865569,0.019431865460619625,0.1268619688692753
f004_pb0_flux_min,0.1126005361930295,0.013991186355394328,0.12659172254842382
f004_pb2_detected_std,0.10819609345078514,0.018234524082330762,0.1264306175331159
